"","East","West"
"dY_range",0.0822702702702713,0.162735294117647
"dX_range",0.473378378378381,0.47117647058824
"TA",0.00275371073777819,0.0305789636678355
"CD",0.204470985362259,0.198818664294925
"MNND",0.174225329808889,0.2432975267713
"SDNND",0.230331147579029,0.113349236224614
