"","East.base","East.tip","East.mid","West.base","West.tip","West.mid"
"TA",7.54216200000008,8.1973650000001,7.88538449999999,2.71162750000008,3.85906249999994,3.21488099999999
"SEA",1.92329415243688,2.54830875876968,2.18072877095373,0.813419761734071,1.04618750242458,0.875974198465676
"SEAc",1.97824541393508,2.62111758044881,2.24303530726669,0.838839129288261,1.07888086187535,0.903348392167728
