Sources,Meand13C,SDd13C,Meand15N,SDd15N,n
Araneae,-28.99,1.73,4.67,1.57,5
Coleoptera,-28.8,1,-4.34,1.21,5
Diptera,-26.15,1.81,5.33,1.37,5
Formicidae,-25.95,0.26,2.34,0.81,12
Ref.Plant,-31.82,0.5,-4.22,0.43,10
