"","East","West"
"dY_range",0.0822702702702705,0.162735294117647
"dX_range",0.473378378378378,0.471176470588237
"TA",0.00275371073774977,0.0305789636678355
"CD",0.204470985362258,0.198818664294925
"MNND",0.174225329808888,0.243297526771299
"SDNND",0.230331147579027,0.113349236224615
